Datetime,Open,High,Low,Close,Volume
2024-01-01 17:00:00,18065.659431,18074.151427,18060.086559,18072.824552,2372
2024-01-01 17:15:00,18072.824552,18084.766421,18072.559177,18080.785798,1145
2024-01-01 17:30:00,18080.785798,18083.970297,18074.947551,18074.947551,805
2024-01-01 17:45:00,18074.682176,18078.397424,18074.416801,18076.805175,311
2024-01-01 18:00:00,18077.335925,18078.13205,18073.620677,18074.682176,506
2024-01-01 18:15:00,18074.682176,18075.743676,18065.128681,18066.455555,716
2024-01-01 18:30:00,18066.455555,18074.682176,18065.128681,18073.089927,640
2024-01-01 18:45:00,18073.355302,18075.212926,18071.497678,18074.151427,408
2024-01-01 19:00:00,18073.886052,18086.35867,18073.355302,18076.5398,1656
2024-01-01 19:15:00,18076.805175,18084.235671,18073.886052,18076.5398,1008
2024-01-01 19:30:00,18076.274425,18078.928174,18056.90206,18061.148058,1582
2024-01-01 19:45:00,18061.413433,18069.374679,18060.086559,18060.882683,1009
2024-01-01 20:00:00,18060.882683,18065.659431,18060.086559,18063.005682,750
2024-01-01 20:15:00,18063.536432,18063.536432,18056.37131,18057.698185,946
2024-01-01 20:30:00,18057.96356,18059.555809,18052.390687,18057.167435,899
2024-01-01 20:45:00,18057.167435,18057.698185,18046.55244,18054.248312,946
2024-01-01 21:00:00,18054.248312,18059.290434,18054.248312,18057.698185,545
2024-01-01 21:15:00,18057.698185,18058.228935,18050.267689,18055.044436,585
2024-01-01 21:30:00,18055.309811,18056.37131,18048.675439,18053.717562,368
2024-01-01 21:45:00,18053.717562,18055.840561,18047.879315,18053.452187,526
2024-01-01 22:00:00,18053.186812,18053.982937,18048.940814,18053.982937,368
2024-01-01 22:15:00,18054.248312,18054.779061,18051.329188,18053.717562,259
2024-01-01 22:30:00,18053.982937,18059.290434,18053.186812,18055.840561,638
2024-01-01 22:45:00,18055.309811,18057.698185,18053.452187,18053.717562,261
2024-01-01 23:00:00,18053.982937,18063.005682,18052.656062,18063.005682,724
2024-01-01 23:15:00,18062.740307,18065.659431,18058.759684,18063.536432,747
2024-01-01 23:30:00,18063.005682,18065.394056,18061.944183,18064.863306,464
2024-01-01 23:45:00,18064.863306,18065.659431,18062.740307,18064.332556,297
