Datetime,Open,High,Low,Close,Volume
2024-01-01 17:00:00,18065.659431,18069.374679,18060.086559,18062.740307,1308
2024-01-01 17:05:00,18063.005682,18071.763053,18062.474932,18070.436178,555
2024-01-01 17:10:00,18070.966928,18074.151427,18069.109304,18072.824552,509
2024-01-01 17:15:00,18072.824552,18077.866675,18072.559177,18076.009051,398
2024-01-01 17:20:00,18076.009051,18080.255048,18073.886052,18079.458924,316
2024-01-01 17:25:00,18079.989674,18084.766421,18079.724299,18080.785798,431
2024-01-01 17:30:00,18080.785798,18083.970297,18078.928174,18079.193549,262
2024-01-01 17:35:00,18079.458924,18080.520423,18077.335925,18079.989674,260
2024-01-01 17:40:00,18079.724299,18081.051173,18074.947551,18074.947551,283
2024-01-01 17:45:00,18074.682176,18076.805175,18074.416801,18076.5398,123
2024-01-01 17:50:00,18076.5398,18078.397424,18074.682176,18077.6013,132
2024-01-01 17:55:00,18077.866675,18077.866675,18076.5398,18076.805175,56
2024-01-01 18:00:00,18077.335925,18078.13205,18074.947551,18076.805175,217
2024-01-01 18:05:00,18076.805175,18077.07055,18074.416801,18076.5398,130
2024-01-01 18:10:00,18076.5398,18076.805175,18073.620677,18074.682176,159
2024-01-01 18:15:00,18074.682176,18075.743676,18072.293802,18072.559177,122
2024-01-01 18:20:00,18072.824552,18073.089927,18070.966928,18072.293802,205
2024-01-01 18:25:00,18072.293802,18072.293802,18065.128681,18066.455555,389
2024-01-01 18:30:00,18066.455555,18069.640054,18065.128681,18069.640054,190
2024-01-01 18:35:00,18069.640054,18074.682176,18069.640054,18073.886052,296
2024-01-01 18:40:00,18074.151427,18074.416801,18070.701553,18073.089927,154
2024-01-01 18:45:00,18073.355302,18074.151427,18071.497678,18073.355302,139
2024-01-01 18:50:00,18073.620677,18074.682176,18073.089927,18073.089927,130
2024-01-01 18:55:00,18073.355302,18075.212926,18072.824552,18074.151427,139
2024-01-01 19:00:00,18073.886052,18084.766421,18073.355302,18083.174172,612
2024-01-01 19:05:00,18083.439547,18086.35867,18079.724299,18080.255048,646
2024-01-01 19:10:00,18079.989674,18081.051173,18076.009051,18076.5398,398
2024-01-01 19:15:00,18076.805175,18083.439547,18076.805175,18083.439547,392
2024-01-01 19:20:00,18083.439547,18084.235671,18078.928174,18081.051173,352
2024-01-01 19:25:00,18081.051173,18081.316548,18073.886052,18076.5398,264
2024-01-01 19:30:00,18076.274425,18078.928174,18073.355302,18073.620677,280
